seed,dataset,pair_id,first,second,analysis_units,first_auc,second_auc,delta_first_minus_second,bootstrap_delta_ci_low,bootstrap_delta_ci_high,delong_z,delong_p_raw,holm_local_p,holm_local_reject,holm_primary_p,holm_primary_reject,holm_global_108_p,holm_global_108_reject
3407,Celeb-DF-v2,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,518,0.9636483807005949,0.9758922670191672,-0.012243886318572317,-0.02224182088565754,-0.0024450594844679313,-2.4614631823471966,0.01383715989252259,0.07848353418447195,False,0.37360331709810995,False,1.0,False
3407,Celeb-DF-v2,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,518,0.9636483807005949,0.9723066754791805,-0.008658294778585596,-0.020175148711169877,0.0009439028420357429,-1.590283379033912,0.11177094340967185,0.4470837736386874,False,1.0,False,1.0,False
3407,Celeb-DF-v2,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,518,0.9636483807005949,0.9748512888301388,-0.011202908129543943,-0.02019538995373433,-0.002676801057501674,-2.481567617213515,0.013080589030745325,0.07848353418447195,False,0.3662564928608691,False,1.0,False
3407,Celeb-DF-v2,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,518,0.9758922670191672,0.9723066754791805,0.003585591539986721,-0.005584930601454041,0.012576007931262366,0.7462957914135613,0.4554887532032499,1.0,False,1.0,False,1.0,False
3407,Celeb-DF-v2,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,518,0.9758922670191672,0.9748512888301388,0.0010409781890283742,-0.007816011235954996,0.00978354263053529,0.2289071044566427,0.8189411186098703,1.0,False,1.0,False,1.0,False
3407,Celeb-DF-v2,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,518,0.9723066754791805,0.9748512888301388,-0.002544613350958347,-0.008625660938532682,0.004082121612690069,-0.7757400121769963,0.43790250977432654,1.0,False,1.0,False,1.0,False
3407,DFDC,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,4704,0.8632061816804342,0.8777293697625999,-0.014523188082165683,-0.018944591255638,-0.00999758160828929,-6.334945765207851,2.3742477458072377e-10,1.4245486474843427e-09,True,8.547291884906056e-09,True,2.5404450880137445e-08,True
3407,DFDC,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,4704,0.8632061816804342,0.8707338440132826,-0.007527662332848406,-0.012279539863684052,-0.002583818744479539,-2.9975229292971752,0.002721833826718024,0.010887335306872095,True,0.08709868245497676,False,0.25857421353821225,False
3407,DFDC,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,4704,0.8632061816804342,0.869852193323069,-0.006646011642634786,-0.011035076172558377,-0.0021718830095099565,-2.994091774490116,0.002752631337760424,0.010887335306872095,True,0.08709868245497676,False,0.25874734574947983,False
3407,DFDC,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,4704,0.8777293697625999,0.8707338440132826,0.006995525749317277,0.0024101601382144904,0.011597937631711942,2.9599797227659503,0.003076592913924727,0.010887335306872095,True,0.0922977874177418,False,0.28612314099499964,False
3407,DFDC,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,4704,0.8777293697625999,0.869852193323069,0.007877176439530897,0.003357609164393611,0.012190127175761544,3.4997184303707396,0.0004657498421863725,0.0023287492109318624,True,0.015835494634336665,True,0.045643484534264506,True
3407,DFDC,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,4704,0.8707338440132826,0.869852193323069,0.0008816506902136201,-0.0032907304627852766,0.004638425577272363,0.4334282425566778,0.6647036863892433,0.6647036863892433,False,1.0,False,1.0,False
3407,DFDCP,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,652,0.9068617350092726,0.922944570368844,-0.016082835359571446,-0.027922161549557047,-0.004748351535132893,-2.7252350312730282,0.006425572847483298,0.025702291389933192,True,0.18634161257701565,False,0.5847271291209801,False
3407,DFDCP,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,652,0.9068617350092726,0.9278590562538637,-0.020997321244591083,-0.034422522151246714,-0.008778848135174148,-3.323739179473266,0.0008881922216737032,0.004440961108368516,True,0.029310343315232204,True,0.0861546455023492,False
3407,DFDCP,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,652,0.9068617350092726,0.9325880898413353,-0.02572635483206276,-0.03821424891819492,-0.013774726973006373,-4.211066622749105,2.541677684642327e-05,0.00015250066107853964,True,0.0008895871896248145,True,0.0025670944614887502,True
3407,DFDCP,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,652,0.922944570368844,0.9278590562538637,-0.004914485885019637,-0.016970688234082047,0.007120853080568768,-0.7907785577291886,0.4290732245744999,0.5578606126094183,False,1.0,False,1.0,False
3407,DFDCP,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,652,0.922944570368844,0.9325880898413353,-0.009643519472491313,-0.019153358747166657,-5.099938182565603e-05,-1.9997855095659154,0.04552342995641193,0.1365702898692358,False,1.0,False,1.0,False
3407,DFDCP,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,652,0.9278590562538637,0.9325880898413353,-0.004729033587471676,-0.013458685349268456,0.003729909334432328,-1.08272544518673,0.27893030630470916,0.5578606126094183,False,1.0,False,1.0,False
3407,UADFV,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,98,0.9804248229904206,0.9845897542690546,-0.004164931278634043,-0.013327780091628494,0.0008329862557268086,-1.2578035914851338,0.2084627965208431,1.0,False,1.0,False,1.0,False
3407,UADFV,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,98,0.9804248229904206,0.9887546855476884,-0.008329862557267864,-0.0287380258225739,0.002498958767180426,-1.000208398460121,0.3172096657189144,1.0,False,1.0,False,1.0,False
3407,UADFV,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,98,0.9804248229904206,0.9816743023740108,-0.001249479383590213,-0.008746355685131268,0.006663890045814247,-0.4214636152117757,0.673416574633757,1.0,False,1.0,False,1.0,False
3407,UADFV,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,98,0.9845897542690546,0.9887546855476884,-0.004164931278633821,-0.018742190753852528,0.005414410662224145,-0.6897235193910461,0.49036807244406566,1.0,False,1.0,False,1.0,False
3407,UADFV,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,98,0.9845897542690546,0.9816743023740108,0.00291545189504383,-0.002915451895043719,0.012078300708038392,0.8280786712108487,0.4076259477027676,1.0,False,1.0,False,1.0,False
3407,UADFV,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,98,0.9887546855476884,0.9816743023740108,0.007080383173677651,-0.002498958767180315,0.02498958767180348,0.9776332879991642,0.32825572738853026,1.0,False,1.0,False,1.0,False
3407,DeeperForensics-1.0,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,40870,0.9876102044059375,0.988292205891294,-0.0006820014853564649,-0.0023459933605473296,0.00034596130953581933,-1.0018272401684971,0.31642703850104137,1.0,False,1.0,False,1.0,False
3407,DeeperForensics-1.0,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,40870,0.9876102044059375,0.9852559230452766,0.002354281360660848,-0.00026340243017617646,0.007475357114939187,1.0417183522433746,0.2975422778189264,1.0,False,1.0,False,1.0,False
3407,DeeperForensics-1.0,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,40870,0.9876102044059375,0.985131021966075,0.0024791824398624485,-0.0009790360694988311,0.00804248263709846,1.0300513571478336,0.30298589775538765,1.0,False,1.0,False,1.0,False
3407,DeeperForensics-1.0,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,40870,0.988292205891294,0.9852559230452766,0.003036282846017313,-0.0003441293862635278,0.009805245453863649,1.0525795559541689,0.29253373106961167,1.0,False,1.0,False,1.0,False
3407,DeeperForensics-1.0,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,40870,0.988292205891294,0.985131021966075,0.0031611839252189133,-0.0006842340462726245,0.010140909458461416,1.0678061562483137,0.2856079605178242,1.0,False,1.0,False,1.0,False
3407,DeeperForensics-1.0,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,40870,0.9852559230452766,0.985131021966075,0.00012490107920160032,-0.002050023065718342,0.0016629275858774568,0.12524065650367866,0.9003330313797006,1.0,False,1.0,False,1.0,False
3407,WildDeepfake,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,157,0.9219461697722569,0.9026915113871636,0.019254658385093215,-0.002282608695652207,0.04347826086956519,1.675687576669634,0.0937994045069767,0.4689970225348835,False,1.0,False,1.0,False
3407,WildDeepfake,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,157,0.9219461697722569,0.8966873706004139,0.025258799171842927,-0.0026915113871635032,0.054249482401656356,1.7739673589786527,0.07606854961132388,0.4564112976679433,False,1.0,False,1.0,False
3407,WildDeepfake,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,157,0.9219461697722569,0.9024844720496894,0.01946169772256745,-0.004761904761904745,0.045755693581780554,1.533516264867325,0.1251487022572974,0.5005948090291896,False,1.0,False,1.0,False
3407,WildDeepfake,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,157,0.9026915113871636,0.8966873706004139,0.006004140786749712,-0.02070910973084882,0.033333333333333326,0.4336205021229144,0.664564044205303,1.0,False,1.0,False,1.0,False
3407,WildDeepfake,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,157,0.9026915113871636,0.9024844720496894,0.0002070393374742352,-0.0213302277432713,0.02236542443064179,0.018859597801273945,0.9849531100874408,1.0,False,1.0,False,1.0,False
3407,WildDeepfake,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,157,0.8966873706004139,0.9024844720496894,-0.005797101449275477,-0.025258799171842705,0.013250517598343725,-0.6199912193166909,0.5352635678739217,1.0,False,1.0,False,1.0,False
7859,Celeb-DF-v2,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,518,0.9678783873099803,0.9754130865829478,-0.00753469927296746,-0.017747025776602823,0.001323942498347688,-1.6397136152304363,0.1010647266816976,0.6063883600901856,False,1.0,False,1.0,False
7859,Celeb-DF-v2,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,518,0.9678783873099803,0.9706543291473892,-0.002775941837408924,-0.011120290812954403,0.0056514375413087075,-0.6660483255357027,0.5053802121882833,1.0,False,1.0,False,1.0,False
7859,Celeb-DF-v2,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,518,0.9678783873099803,0.9726040978189028,-0.004725710508922454,-0.013386070720423006,0.0032555353602115094,-1.1371981417900288,0.2554554636082277,1.0,False,1.0,False,1.0,False
7859,Celeb-DF-v2,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,518,0.9754130865829478,0.9706543291473892,0.004758757435558536,-0.0033381526768011586,0.014044943820224701,1.0669918514591195,0.2859755155534739,1.0,False,1.0,False,1.0,False
7859,Celeb-DF-v2,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,518,0.9754130865829478,0.9726040978189028,0.002808988764045006,-0.005717944481163158,0.011702329808327798,0.6393426269303526,0.5226000636264825,1.0,False,1.0,False,1.0,False
7859,Celeb-DF-v2,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,518,0.9706543291473892,0.9726040978189028,-0.0019497686715135298,-0.008361285525446134,0.004296513549239884,-0.6038692371272647,0.5459305828201999,1.0,False,1.0,False,1.0,False
7859,DFDC,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,4704,0.8746815633568903,0.8872512333797724,-0.012569670022882118,-0.016934577757847995,-0.008313422661641227,-5.831026430763255,5.508745722171726e-09,3.3052474333030355e-08,True,1.9831484599818214e-07,True,5.784183008280312e-07,True
7859,DFDC,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,4704,0.8746815633568903,0.8746689063535444,1.2657003345850626e-05,-0.004748333569898718,0.004502846469645327,0.005562456083259371,0.9955618250579028,1.0,False,1.0,False,1.0,False
7859,DFDC,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,4704,0.8746815633568903,0.8754035549906112,-0.0007219916337208865,-0.0051116438102281414,0.0035352004824125757,-0.3289539394191016,0.7421905032043806,1.0,False,1.0,False,1.0,False
7859,DFDC,std_attn_qv_r15_alpha60_p025__minus__std_mlp_r6_alpha24_p025,std_attn_qv_r15_alpha60_p025,std_mlp_r6_alpha24_p025,4704,0.8872512333797724,0.8746689063535444,0.012582327026227969,0.00804283853189613,0.017201577243431267,5.373604417062487,7.717807818602799e-08,3.8589039093013996e-07,True,2.7012327365109796e-06,True,8.026520131346912e-06,True
7859,DFDC,std_attn_qv_r15_alpha60_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_qv_r15_alpha60_p025,std_mlp_attn_out_r5_alpha20_p025,4704,0.8872512333797724,0.8754035549906112,0.011847678389161231,0.007133636257613447,0.016562629112735008,4.937443724396957,7.91532366846933e-07,3.166129467387732e-06,True,2.6912100472795725e-05,True,8.073630141838716e-05,True
7859,DFDC,std_mlp_r6_alpha24_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_mlp_r6_alpha24_p025,std_mlp_attn_out_r5_alpha20_p025,4704,0.8746689063535444,0.8754035549906112,-0.0007346486370667371,-0.004765425044774121,0.0034309655395001765,-0.36086166323131424,0.7182028635339006,1.0,False,1.0,False,1.0,False
7859,DFDCP,std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,652,0.9153513290747991,0.9263445291572222,-0.010993200082423105,-0.020719915516175587,-0.001195137028642046,-2.1723719615148913,0.029827618120705692,0.17896570872423415,False,0.9843113979832878,False,1.0,False
7859,DFDCP,std_attn_out_r30_alpha120_p025__minus__std_mlp_r6_alpha24_p025,std_attn_out_r30_alpha120_p025,std_mlp_r6_alpha24_p025,652,0.9153513290747991,0.920430661446528,-0.005079332371728862,-0.017547908510199817,0.0063981042654027735,-0.8194288333880912,0.4125417899181003,0.8814231936276183,False,1.0,False,1.0,False
7859,DFDCP,std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,652,0.9153513290747991,0.9131259015042242,0.002225427570574867,-0.009262311971976134,0.013901195137028645,0.3630188405525036,0.716590810283572,0.8814231936276183,False,1.0,False,1.0,False
