record_type,candidate,seed,split,dataset,metric,value,threshold,source_constraint_value,analysis_units,raw_ece_15,brier
calibration,std_mlp_r6_alpha24_p025,7859,target,UADFV,,,,,98,0.1558366779239027,0.10313572430020514
calibration,std_mlp_r6_alpha24_p025,7859,target,DeeperForensics-1.0,,,,,40870,0.03630064657102644,0.01032552364869935
calibration,std_mlp_r6_alpha24_p025,7859,target,WildDeepfake,,,,,157,0.12254474731791011,0.13043591256567455
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,source,FaceForensics++,,,,,280,0.04613576472006237,0.009817010701955675
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,Celeb-DF-v2,,,,,518,0.07308297431622698,0.07553547379032818
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,DFDC,,,,,4704,0.10036755018575756,0.15410221155888806
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,DFDCP,,,,,652,0.08466592854652763,0.11983378633595178
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,UADFV,,,,,98,0.1618035908197671,0.10039512868810996
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,DeeperForensics-1.0,,,,,40870,0.029244386468765485,0.007605201490142381
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,WildDeepfake,,,,,157,0.13299898801051818,0.1262004344491148
calibration,std_attn_out_r30_alpha120_p025,12011,source,FaceForensics++,,,,,280,0.03914956953268635,0.012559626117421752
calibration,std_attn_out_r30_alpha120_p025,12011,target,Celeb-DF-v2,,,,,518,0.04403891783270129,0.07898012793723956
calibration,std_attn_out_r30_alpha120_p025,12011,target,DFDC,,,,,4704,0.13111023420515314,0.16664882083584195
calibration,std_attn_out_r30_alpha120_p025,12011,target,DFDCP,,,,,652,0.13391073204325726,0.14468764682888588
calibration,std_attn_out_r30_alpha120_p025,12011,target,UADFV,,,,,98,0.10455704361044425,0.0636821758101426
calibration,std_attn_out_r30_alpha120_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.009444614821439287,0.002318305250841998
calibration,std_attn_out_r30_alpha120_p025,12011,target,WildDeepfake,,,,,157,0.09623376063180786,0.10569953696805981
calibration,std_attn_qv_r15_alpha60_p025,12011,source,FaceForensics++,,,,,280,0.04135940536134785,0.00819797217674402
calibration,std_attn_qv_r15_alpha60_p025,12011,target,Celeb-DF-v2,,,,,518,0.06808373792440606,0.06287302316005414
calibration,std_attn_qv_r15_alpha60_p025,12011,target,DFDC,,,,,4704,0.10102302750027128,0.151979507533571
calibration,std_attn_qv_r15_alpha60_p025,12011,target,DFDCP,,,,,652,0.14912725880069372,0.14136957293949087
calibration,std_attn_qv_r15_alpha60_p025,12011,target,UADFV,,,,,98,0.10832543582654106,0.053148194626089405
calibration,std_attn_qv_r15_alpha60_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.007890132457529902,0.00102048580557195
calibration,std_attn_qv_r15_alpha60_p025,12011,target,WildDeepfake,,,,,157,0.17225461603733797,0.13736461117997578
calibration,std_mlp_r6_alpha24_p025,12011,source,FaceForensics++,,,,,280,0.04526726818401461,0.008848386066851165
calibration,std_mlp_r6_alpha24_p025,12011,target,Celeb-DF-v2,,,,,518,0.0680972075801218,0.06788301545736597
calibration,std_mlp_r6_alpha24_p025,12011,target,DFDC,,,,,4704,0.1407580887504632,0.17027182699787854
calibration,std_mlp_r6_alpha24_p025,12011,target,DFDCP,,,,,652,0.14873060767705973,0.14076424700872178
calibration,std_mlp_r6_alpha24_p025,12011,target,UADFV,,,,,98,0.10867763460129472,0.06288561957025361
calibration,std_mlp_r6_alpha24_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.022609740898179936,0.004834842425833952
calibration,std_mlp_r6_alpha24_p025,12011,target,WildDeepfake,,,,,157,0.2046352598410513,0.148648619251503
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,source,FaceForensics++,,,,,280,0.04232786453957184,0.009535348320829997
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,Celeb-DF-v2,,,,,518,0.05353718323818541,0.07042465489877947
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,DFDC,,,,,4704,0.1197134978547193,0.1546479606832244
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,DFDCP,,,,,652,0.11177658351282696,0.12569230780600343
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,UADFV,,,,,98,0.11089176150908617,0.06048423510779522
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.01626603071108813,0.0033181418809106306
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,WildDeepfake,,,,,157,0.1693272638024459,0.1290868918197106
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,unit_f1_source_fixed,0.9143646408839778,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,unit_eer_descriptive,0.10056179775280898,0.7499776578260935,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.01,0.669537037037037,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.001,0.30314814814814817,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,unit_f1_source_fixed,0.7632759027613877,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,unit_eer_descriptive,0.20514516226730323,0.26840761059429497,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,frame_tpr_source_fpr_0.01,0.4966521909630942,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,frame_tpr_source_fpr_0.001,0.2845419819610463,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,unit_f1_source_fixed,0.8404669260700389,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,unit_eer_descriptive,0.17344941273439107,0.35835360661258164,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.01,0.5809557459588376,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.001,0.33989930218178604,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,unit_f1_source_fixed,0.8648648648648648,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,unit_eer_descriptive,0.04081632653061226,0.7693360895534099,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,frame_tpr_source_fpr_0.01,0.935525467440361,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,frame_tpr_source_fpr_0.001,0.6499032882011605,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,unit_f1_source_fixed,0.6445182724252492,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,unit_eer_descriptive,0.02487972001606465,0.13958386341497922,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.01,0.824307500778089,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.001,0.5521319638966697,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,WildDeepfake,unit_f1_source_fixed,0.9074889867841409,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,WildDeepfake,unit_eer_descriptive,0.12474120082815736,0.5603054378007073,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.01,0.5421195652173914,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.001,0.23125,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,Celeb-DF-v2,unit_f1_source_fixed,0.9353932584269663,0.5001048791465905,0.9964412811387899,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,Celeb-DF-v2,unit_eer_descriptive,0.08478189028420358,0.6964024177541432,,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.01,0.6449074074074074,0.9997647404670715,0.009828009828009828,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.001,0.3459259259259259,0.999980092048645,0.0008934554389099843,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDC,unit_f1_source_fixed,0.7977578475336323,0.5001048791465905,0.9964412811387899,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDC,unit_eer_descriptive,0.19557981280292053,0.3545387031408609,,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDC,frame_tpr_source_fpr_0.01,0.558902557697056,0.9997647404670715,0.009828009828009828,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDC,frame_tpr_source_fpr_0.001,0.38330597957909107,0.999980092048645,0.0008934554389099843,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDCP,unit_f1_source_fixed,0.8831488314883149,0.5001048791465905,0.9964412811387899,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDCP,unit_eer_descriptive,0.14855759324129408,0.4892338921963528,,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.01,0.666990548538115,0.9997647404670715,0.009828009828009828,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.001,0.5087006448193623,0.999980092048645,0.0008934554389099843,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,UADFV,unit_f1_source_fixed,0.888888888888889,0.5001048791465905,0.9964412811387899,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,UADFV,unit_eer_descriptive,0.04081632653061226,0.7697035216932329,,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,UADFV,frame_tpr_source_fpr_0.01,0.9490651192778853,0.9997647404670715,0.009828009828009828,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,UADFV,frame_tpr_source_fpr_0.001,0.845905867182463,0.999980092048645,0.0008934554389099843,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DeeperForensics-1.0,unit_f1_source_fixed,0.5647058823529412,0.5001048791465905,0.9964412811387899,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DeeperForensics-1.0,unit_eer_descriptive,0.019896399386920435,0.21318845795054409,,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.01,0.8014316837846249,0.9997647404670715,0.009828009828009828,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.001,0.5804544039838158,0.999980092048645,0.0008934554389099843,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,WildDeepfake,unit_f1_source_fixed,0.8828828828828829,0.5001048791465905,0.9964412811387899,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,WildDeepfake,unit_eer_descriptive,0.16594202898550725,0.5438328783784527,,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.01,0.47092391304347825,0.9997647404670715,0.009828009828009828,,,
threshold,std_attn_qv_r15_alpha60_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.001,0.2516304347826087,0.999980092048645,0.0008934554389099843,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,Celeb-DF-v2,unit_f1_source_fixed,0.9243466299862448,0.5000296413269325,1.0,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,Celeb-DF-v2,unit_eer_descriptive,0.09053205551883675,0.7732776830234798,,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.01,0.7571296296296296,0.9997163414955139,0.009828009828009828,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.001,0.4062962962962963,0.9999792575836182,0.0008934554389099843,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDC,unit_f1_source_fixed,0.7926308694675354,0.5000296413269325,1.0,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDC,unit_eer_descriptive,0.20046713383063305,0.3737397999984437,,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDC,frame_tpr_source_fpr_0.01,0.5623738217309843,0.9997163414955139,0.009828009828009828,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDC,frame_tpr_source_fpr_0.001,0.38727106360110963,0.9999792575836182,0.0008934554389099843,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDCP,unit_f1_source_fixed,0.8842364532019703,0.5000296413269325,1.0,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDCP,unit_eer_descriptive,0.13828559653822375,0.4845029075631828,,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.01,0.6713187880929247,0.9997163414955139,0.009828009828009828,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.001,0.45464181609398463,0.9999792575836182,0.0008934554389099843,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,UADFV,unit_f1_source_fixed,0.8867924528301887,0.5000296413269325,1.0,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,UADFV,unit_eer_descriptive,0.04081632653061226,0.769245415833351,,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,UADFV,frame_tpr_source_fpr_0.01,0.9509993552546744,0.9997163414955139,0.009828009828009828,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,UADFV,frame_tpr_source_fpr_0.001,0.574468085106383,0.9999792575836182,0.0008934554389099843,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DeeperForensics-1.0,unit_f1_source_fixed,0.6034214618973561,0.5000296413269325,1.0,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DeeperForensics-1.0,unit_eer_descriptive,0.019896399386920435,0.2054291416425258,,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.01,0.8657018362900716,0.9997163414955139,0.009828009828009828,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.001,0.7019919078742608,0.9999792575836182,0.0008934554389099843,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,WildDeepfake,unit_f1_source_fixed,0.8999999999999999,0.5000296413269325,1.0,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,WildDeepfake,unit_eer_descriptive,0.14099378881987576,0.5012013094274153,,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.01,0.5081521739130435,0.9997163414955139,0.009828009828009828,,,
threshold,std_mlp_r6_alpha24_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.001,0.26168478260869565,0.9999792575836182,0.0008934554389099843,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,Celeb-DF-v2,unit_f1_source_fixed,0.935933147632312,0.4999463762280243,1.0,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,Celeb-DF-v2,unit_eer_descriptive,0.09053205551883675,0.7273124448334177,,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.01,0.7606481481481482,0.9998481273651123,0.009828009828009828,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.001,0.42203703703703704,0.9999877214431763,0.0008934554389099843,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDC,unit_f1_source_fixed,0.7897343538946421,0.4999463762280243,1.0,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDC,unit_eer_descriptive,0.19430398686564682,0.3577788029324438,,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDC,frame_tpr_source_fpr_0.01,0.5443058198138008,0.9998481273651123,0.009828009828009828,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDC,frame_tpr_source_fpr_0.001,0.34356799465512483,0.9999877214431763,0.0008934554389099843,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDCP,unit_f1_source_fixed,0.8838951310861424,0.4999463762280243,1.0,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDCP,unit_eer_descriptive,0.130383268081599,0.4267537343686471,,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.01,0.6654889144068545,0.9998481273651123,0.009828009828009828,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.001,0.419485911138592,0.9999877214431763,0.0008934554389099843,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,UADFV,unit_f1_source_fixed,0.8623853211009175,0.4999463762280243,1.0,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,UADFV,unit_eer_descriptive,0.04081632653061226,0.7468584301914234,,,,
