candidate,role,position,rank,alpha,p_sbi,trainable_params,seeds,source_auc_mean,source_auc_sd,source_eer_mean,source_eer_sd,source_ap_mean,source_ap_sd,macro_6_auc_mean,macro_6_auc_sd
MLP r4/alpha16,comparable_candidate,mlp,4,16,0.25,987138,3,0.9840846763225443,0.0013682888742679094,0.0500302705904622,0.0019554019657581348,0.9962640689004504,0.0002706146049303856,0.9329783171499724,0.0018659294606200101
Attn-Q/V r16/alpha64,comparable_candidate,attn_qv,16,64,0.25,1576962,3,0.9851940405800876,0.0008552579144598351,0.042978917889290286,0.0009008031371165038,0.9966064988364945,0.00016588572171677844,0.9450638097834845,0.004068602767769341
Attn-Out r16/alpha64,comparable_candidate,attn_out,16,64,0.25,790530,3,0.9845347442335955,0.000629951434058905,0.04928507884311939,0.0008877898012851094,0.9963952478522357,0.00015949129257498463,0.9394013767582137,0.001458603805471515
MLP+Attn-Out r4/alpha16,comparable_candidate,mlp_attn_out,4,16,0.25,1183746,3,0.9831909043567498,0.0017049052938986448,0.048241810396839446,0.0008664116900463612,0.9960982815030254,0.00040361438652934505,0.9349208708905907,0.002361053701198771
Attn-Out r16/alpha64 pSBI=0.10,descriptive_reference,attn_out,16,64,0.10,790530,3,0.9827035320864365,0.000481276195126126,0.04904293994135184,0.0015835166007586012,0.9960113373371572,0.00009013003653201998,0.9350734069677059,0.0014956980204963175
