placement,position,rank,alpha,p_sbi,seeds,trainable_params,source_auc_mean,source_auc_sd,Celeb-DF-v2_auc_mean,Celeb-DF-v2_auc_sd,DFDC_auc_mean,DFDC_auc_sd,DFDCP_auc_mean,DFDCP_auc_sd,UADFV_auc_mean,UADFV_auc_sd,DeeperForensics-1.0_auc_mean,DeeperForensics-1.0_auc_sd,WildDeepfake_auc_mean,WildDeepfake_auc_sd,macro_6_auc_mean,macro_6_auc_sd
Attn-Out,attn_out,30,120,0.25,3,1478658,0.9856259040304564,0.0018038395757541043,0.9627616215025335,0.0056129291236999,0.8676638577159955,0.006151130777363275,0.9089944364310735,0.005603672497469371,0.9847285853116757,0.0037791635676291,0.9883198937243916,0.001210198352009763,0.9186335403726709,0.0055593050029389265,0.9385169891763901,0.0020448329452015263
Attn-Q/V,attn_qv,15,60,0.25,3,1478658,0.986512487504112,0.000998294303486969,0.9760795329367702,0.0007771884934818452,0.8806600084801923,0.005719824305241301,0.9238443574421321,0.0021933657223444296,0.9837567680133278,0.0018154514550357056,0.9868049329361129,0.0017873194218272512,0.9082125603864734,0.00570141878601046,0.9432263600325016,0.0010440863668547168
MLP,mlp,6,24,0.25,3,1478658,0.9858468606199312,0.0007255475713286978,0.972405816259088,0.0018031028242834093,0.8718934666055514,0.0024144000737215485,0.9225839686791675,0.004593952190810284,0.9833402748854644,0.005218643934253044,0.9845753487678118,0.0009400106277143105,0.9053830227743273,0.009022260277226008,0.9400303163285684,0.0012030016221529468
MLP+Attn-Out,mlp_attn_out,5,20,0.25,3,1478658,0.9844295698465862,0.0012735146711570701,0.9717393699052655,0.0036225345987198985,0.8761495949306894,0.006701638286109343,0.9217769077546535,0.009909286727607667,0.9825072886297376,0.0038172225697257734,0.9843358225062285,0.0012218613708014751,0.9122843340234645,0.009354268529941999,0.9414655529583397,0.0022578459410585285
